=== Nearest Neighbor — Sequential Scan ===
id=107909, x=189.020000, y=26.160000 for query 1
id=86487, x=80.560000, y=23.490000 for query 2
id=1224, x=153.610000, y=125.150000 for query 3
id=116118, x=107.210000, y=31.600000 for query 4
id=120706, x=23.760000, y=127.040000 for query 5
id=40883, x=147.010000, y=152.210000 for query 6
id=77506, x=85.440000, y=13.680000 for query 7
id=49354, x=40.180000, y=145.250000 for query 8
id=93075, x=171.790000, y=77.180000 for query 9
id=126922, x=108.530000, y=126.160000 for query 10
id=42532, x=109.150000, y=177.950000 for query 11
id=32814, x=127.280000, y=44.340000 for query 12
id=2106, x=69.740000, y=150.590000 for query 13
id=146441, x=100.260000, y=180.320000 for query 14
id=109821, x=181.110000, y=124.900000 for query 15
id=144412, x=108.080000, y=142.610000 for query 16
id=141999, x=163.510000, y=199.170000 for query 17
id=38570, x=104.690000, y=162.620000 for query 18
id=67753, x=115.180000, y=185.640000 for query 19
id=32412, x=143.540000, y=94.510000 for query 20
id=19248, x=45.630000, y=3.010000 for query 21
id=86436, x=180.340000, y=45.990000 for query 22
id=32192, x=148.350000, y=38.900000 for query 23
id=536, x=180.340000, y=57.130000 for query 24
id=76186, x=62.150000, y=23.840000 for query 25
id=133352, x=40.730000, y=156.890000 for query 26
id=9739, x=113.200000, y=112.780000 for query 27
id=21120, x=6.190000, y=181.530000 for query 28
id=9214, x=122.420000, y=156.960000 for query 29
id=73314, x=159.980000, y=48.760000 for query 30
id=118914, x=104.890000, y=89.300000 for query 31
id=91206, x=70.560000, y=57.640000 for query 32
id=50803, x=98.220000, y=47.730000 for query 33
id=26714, x=135.720000, y=55.870000 for query 34
id=92938, x=97.880000, y=157.370000 for query 35
id=67162, x=59.360000, y=43.650000 for query 36
id=61610, x=90.630000, y=184.050000 for query 37
id=103661, x=158.570000, y=84.100000 for query 38
id=13254, x=80.510000, y=52.520000 for query 39
id=1082, x=176.840000, y=175.190000 for query 40
id=139363, x=177.910000, y=131.720000 for query 41
id=84705, x=1.970000, y=31.870000 for query 42
id=77654, x=4.670000, y=159.500000 for query 43
id=136789, x=147.440000, y=182.530000 for query 44
id=24846, x=46.570000, y=57.800000 for query 45
id=59530, x=75.100000, y=31.720000 for query 46
id=149594, x=88.350000, y=99.120000 for query 47
id=52083, x=9.530000, y=8.740000 for query 48
id=65333, x=159.190000, y=162.410000 for query 49
id=121028, x=35.990000, y=23.290000 for query 50
id=14598, x=5.080000, y=70.850000 for query 51
id=98453, x=195.050000, y=19.410000 for query 52
id=83523, x=17.300000, y=119.210000 for query 53
id=85974, x=148.140000, y=176.430000 for query 54
id=17378, x=1.470000, y=189.840000 for query 55
id=92203, x=29.810000, y=124.200000 for query 56
id=42174, x=0.530000, y=19.770000 for query 57
id=98045, x=68.680000, y=57.850000 for query 58
id=141895, x=119.910000, y=9.500000 for query 59
id=138814, x=144.870000, y=0.490000 for query 60
id=91820, x=74.250000, y=182.250000 for query 61
id=142798, x=83.050000, y=117.020000 for query 62
